Query-mutant-straina;Query- strain-bnumberb;Recipient-mutant-strain;bnumber-of-recipient-mutant-strain;Strain-Versionsc;Essentiality;Functional-Association;S;Z;LOG(Q/R)
yacL;b0119;rpsT;b0023;Isolate 2;non-essential;No functional association with STRING;1.629;5.980;0.4089
yacL;b0119;torS;b0993;Isolate 2;non-essential;No functional association with STRING;1.365;5.025;0.3199
yadE;b0130;rpsT;b0023;Isolate 2;non-essential;No functional association with STRING;1.425;5.904;0.3148
yadE;b0130;yaaY;b0024;Isolate 2;non-essential;No functional association with STRING;1.075;4.453;0.2438
yadE;b0130;ybbN;b0492;Isolate 2;non-essential;No functional association with STRING;0.997;4.130;0.2841
yadE;b0130;yceG;b1097;Isolate 2;non-essential;No functional association with STRING;1.278;5.295;0.5382
yadE;b0130;yciB;b1254;Isolate 2;non-essential;No functional association with STRING;1.135;4.703;0.5404
yadE;b0130;marC;b1529;Isolate 1;non-essential;No functional association with STRING;1.518;4.718;0.9892
yadE;b0130;ypfH;b2473;Isolate 1;non-essential;No functional association with STRING;1.872;5.822;0.5072
yadE;b0130;rpsU;b3065;Isolate 2;non-essential;No functional association with STRING;1.094;4.533;0.6171
yafP;b0234;yidX;b3696;Isolate 2;non-essential;No functional association with STRING;1.579;4.918;0.0809
ykgE;b0306;csiE;b2535;Isolate 2;non-essential;No functional association with STRING;1.594;4.517;0.2248
ykgE;b0306;rpsU;b3065;Isolate 2;non-essential;No functional association with STRING;1.704;4.822;0.7859
ykgE;b0306;gpp;b3779;Isolate 2;non-essential;No functional association with STRING;2.228;6.278;0.8861
mfd;b1114;fkpB;b0028;Isolate 2;non-essential;No functional association with STRING;12.440;12.108;0.0876
sufB;b1683;phr;b0708;Isolate 2;non-essential;No functional association with STRING;12.036;15.430;0.0339
sufB;b1683;dnaT;b4362;Isolate 2;non-essential;No functional association with STRING;11.296;14.485;0.0449
fdx;b2525;fkpB;b0028;Isolate 2;non-essential;No functional association with STRING;10.914;16.217;0.1176
iscA;b2528;hchA;b1967;Isolate 1;non-essential;No functional association with STRING;14.657;22.926;0.2707
iscA;b2528;gutM;b2706;Isolate 1;non-essential;No functional association with STRING;11.450;17.930;0.0690
iscS;b2530;hchA;b1967;Isolate 1;non-essential;No functional association with STRING;12.976;16.185;0.0442
