cell21,cell22,cell23,cell24,cell25
EAR100x,h[c] + nadh[c] + tdec2eACP[c]  -> dcaACP[c] + nad[c] ,Cell Envelope Biosynthesis,enoyl acyl carrier protein reductase NADH n C100 ,b1288
EAR100y,h[c] + nadph[c] + tdec2eACP[c]  -> dcaACP[c] + nadp[c] ,Cell Envelope Biosynthesis,enoyl acyl carrier protein reductase NADPH n C100 ,b1288
EAR120x,h[c] + nadh[c] + tddec2eACP[c]  -> ddcaACP[c] + nad[c] ,Cell Envelope Biosynthesis,enoyl acyl carrier protein reductase NADH n C120 ,b1288
EAR120y,h[c] + nadph[c] + tddec2eACP[c]  -> ddcaACP[c] + nadp[c] ,Cell Envelope Biosynthesis,enoyl acyl carrier protein reductase NADPH n C120 ,b1288
EAR121x,h[c] + nadh[c] + t3c5ddeceACP[c]  -> cddec5eACP[c] + nad[c] ,Cell Envelope Biosynthesis,enoyl acyl carrier protein reductase NADH n C121 ,b1288
EAR121y,h[c] + nadph[c] + t3c5ddeceACP[c]  -> cddec5eACP[c] + nadp[c] ,Cell Envelope Biosynthesis,enoyl acyl carrier protein reductase NADPH n C121 ,b1288
EAR140x,h[c] + nadh[c] + tmrs2eACP[c]  -> myrsACP[c] + nad[c] ,Cell Envelope Biosynthesis,enoyl acyl carrier protein reductase NADH n C140 ,b1288
EAR140y,h[c] + nadph[c] + tmrs2eACP[c]  -> myrsACP[c] + nadp[c] ,Cell Envelope Biosynthesis,enoyl acyl carrier protein reductase NADPH n C140 ,b1288
EAR141x,h[c] + nadh[c] + t3c7mrseACP[c]  -> nad[c] + tdeACP[c] ,Cell Envelope Biosynthesis,enoyl acyl carrier protein reductase NADH n C141 ,b1288
EAR141y,h[c] + nadph[c] + t3c7mrseACP[c]  -> nadp[c] + tdeACP[c] ,Cell Envelope Biosynthesis,enoyl acyl carrier protein reductase NADPH n C141 ,b1288
EAR160x,h[c] + nadh[c] + tpalm2eACP[c]  -> nad[c] + palmACP[c] ,Cell Envelope Biosynthesis,enoyl acyl carrier protein reductase NADH n C160 ,b1288
EAR160y,h[c] + nadph[c] + tpalm2eACP[c]  -> nadp[c] + palmACP[c] ,Cell Envelope Biosynthesis,enoyl acyl carrier protein reductase NADPH n C160 ,b1288
EAR161x,h[c] + nadh[c] + t3c9palmeACP[c]  -> hdeACP[c] + nad[c] ,Cell Envelope Biosynthesis,enoyl acyl carrier protein reductase NADH n C161 ,b1288
EAR161y,h[c] + nadph[c] + t3c9palmeACP[c]  -> hdeACP[c] + nadp[c] ,Cell Envelope Biosynthesis,enoyl acyl carrier protein reductase NADPH n C161 ,b1288
EAR180x,h[c] + nadh[c] + toctd2eACP[c]  -> nad[c] + ocdcaACP[c] ,Cell Envelope Biosynthesis,enoyl acyl carrier protein reductase NADH n C180 ,b1288
EAR180y,h[c] + nadph[c] + toctd2eACP[c]  -> nadp[c] + ocdcaACP[c] ,Cell Envelope Biosynthesis,enoyl acyl carrier protein reductase NADPH n C180 ,b1288
EAR181x,h[c] + nadh[c] + t3c11vaceACP[c]  -> nad[c] + octeACP[c] ,Cell Envelope Biosynthesis,enoyl acyl carrier protein reductase NADH n C181 ,b1288
EAR181y,h[c] + nadph[c] + t3c11vaceACP[c]  -> nadp[c] + octeACP[c] ,Cell Envelope Biosynthesis,enoyl acyl carrier protein reductase NADPH n C181 ,b1288
