cell1,cell2,cell3,cell4,cell5
FMNAT,atp_c + fmn_c + h_c  -> fad_c + ppi_c ,"Cofactor and Prosthetic Group Biosynthesis","FMN adenylyltransferase",b0025
RBFK,atp_c + ribflv_c  -> adp_c + fmn_c + h_c ,"Cofactor and Prosthetic Group Biosynthesis","Riboflavin kinase",b0025
ILETRS,atp_c + ile__L_c + trnaile_c  -> amp_c + iletrna_c + ppi_c ,"tRNA Charging","Isoleucyl-tRNA synthetase",b0026
DMPPS,h_c + h2mb4p_c + nadh_c  -> dmpp_c + h2o_c + nad_c ,"Cofactor and Prosthetic Group Biosynthesis","1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp)",b0029
IPDPS,h_c + h2mb4p_c + nadh_c  -> h2o_c + nad_c + ipdp_c ,"Cofactor and Prosthetic Group Biosynthesis","1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp)",b0029
DHDPRy,23dhdp_c + h_c + nadph_c  -> nadp_c + thdp_c ,"Threonine and Lysine Metabolism","Dihydrodipicolinate reductase (NADPH)",b0031
DHFR,dhf_c + h_c + nadph_c  <=> nadp_c + thf_c ,"Cofactor and Prosthetic Group Biosynthesis","Dihydrofolate reductase",b1606 or b0048
MCTP1App,murein5p5p_p  -> ala__D_p + murein5px4p_p ,"Murein Biosynthesis","Murein crosslinking transpeptidase 1A:(A2pm->D-ala) (periplasm)",b0084 or b0635 or b0149 or b3396
MCTP2App,murein5p5p5p_p  -> 2 ala__D_p + murein5px4px4p_p ,"Murein Biosynthesis","Murein crosslinking transpeptidase 1A:(A2pm->D-ala) (periplasm)",b0084 or b0635 or b3396 or b0149
UAAGDS,26dap__M_c + atp_c + uamag_c  -> adp_c + h_c + pi_c + ugmd_c ,"Cell Envelope Biosynthesis","UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase",b0085
UGMDDS,alaala_c + atp_c + ugmd_c  -> adp_c + h_c + pi_c + ugmda_c ,"Cell Envelope Biosynthesis","UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine synthetase",b0086
PAPPT3,udcpp_c + ugmda_c  -> uagmda_c + ump_c ,"Cell Envelope Biosynthesis","Phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)",b0087
UAMAGS,atp_c + glu__D_c + uama_c  -> adp_c + h_c + pi_c + uamag_c ,"Cell Envelope Biosynthesis","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase",b0088
UAGPT3,uacgam_c + uagmda_c  -> h_c + uaagmda_c + udp_c ,"Cell Envelope Biosynthesis","UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase",b0090
UAMAS,ala__L_c + atp_c + uamr_c  -> adp_c + h_c + pi_c + uama_c ,"Cell Envelope Biosynthesis","UDP-N-acetylmuramoyl-L-alanine synthetase",b0091
UHGADA,h2o_c + u3aga_c  -> ac_c + u3hga_c ,"Lipopolysaccharide Biosynthesis / Recycling","UDP-3-O-acetylglucosamine deacetylase",b0096
DPCOAK,atp_c + dpcoa_c  -> adp_c + coa_c + h_c ,"Cofactor and Prosthetic Group Biosynthesis","Dephospho-CoA kinase",b0103
HCO3E,co2_c + h2o_c  <=> h_c + hco3_c ,"Unassigned","HCO3 equilibration reaction",b0126 or b0339
HPPK2,6hmhpt_c + atp_c  -> 6hmhptpp_c + amp_c + h_c ,"Cofactor and Prosthetic Group Biosynthesis","6-hydroxymethyl-dihydropterin pyrophosphokinase",b0142
G1SAT,glu1sa_c  <=> 5aop_c ,"Cofactor and Prosthetic Group Biosynthesis","Glutamate-1-semialdehyde aminotransferase",b0154
THDPS,h2o_c + thdp_c + succoa_c  -> coa_c + sl2a6o_c ,"Threonine and Lysine Metabolism","Tetrahydrodipicolinate succinylase",b0166
UMPK,atp_c + ump_c  <=> adp_c + udp_c ,"Nucleotide Salvage Pathway","UMP kinase",b0910 or b0171
DXPRIi,dxyl5p_c + h_c + nadph_c  -> 2me4p_c + nadp_c ,"Cofactor and Prosthetic Group Biosynthesis","1-deoxy-D-xylulose reductoisomerase",b0173
UDCPDPS,frdp_c + 8 ipdp_c  -> 8 ppi_c + udcpdp_c ,"Cofactor and Prosthetic Group Biosynthesis","Undecaprenyl diphosphate synthase",b0174
DASYN120,ctp_c + h_c + pa120_c  -> cdpdddecg_c + ppi_c ,"Glycerophospholipid Metabolism","CDP-diacylglycerol synthetase (n-C12:0)",b0175
DASYN140,ctp_c + h_c + pa140_c  -> cdpdtdecg_c + ppi_c ,"Glycerophospholipid Metabolism","CDP-diacylglycerol synthetase (n-C14:0)",b0175
DASYN141,ctp_c + h_c + pa141_c  -> cdpdtdec7eg_c + ppi_c ,"Glycerophospholipid Metabolism","CDP-diacylglycerol synthetase (n-C14:1)",b0175
DASYN160,ctp_c + h_c + pa160_c  -> cdpdhdecg_c + ppi_c ,"Glycerophospholipid Metabolism","CDP-diacylglycerol synthetase (n-C16:0)",b0175
DASYN161,ctp_c + h_c + pa161_c  -> cdpdhdec9eg_c + ppi_c ,"Glycerophospholipid Metabolism","CDP-diacylglycerol synthetase (n-C16:1)",b0175
DASYN180,ctp_c + h_c + pa180_c  -> cdpdodecg_c + ppi_c ,"Glycerophospholipid Metabolism","CDP-diacylglycerol synthetase (n-C18:0)",b0175
DASYN181,ctp_c + h_c + pa181_c  -> cdpdodec11eg_c + ppi_c ,"Glycerophospholipid Metabolism","CDP-diacylglycerol synthetase (n-C18:1)",b0175
U23GAAT,3hmrsACP_c + u3hga_c  -> ACP_c + h_c + u23ga_c ,"Lipopolysaccharide Biosynthesis / Recycling","UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase",b0179
3HAD100,3hdecACP_c  -> h2o_c + tdec2eACP_c ,"Cell Envelope Biosynthesis","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)",b0954 or b0180
3HAD120,3hddecACP_c  -> h2o_c + tddec2eACP_c ,"Cell Envelope Biosynthesis","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0)",b0180 or b0954
3HAD121,3hcddec5eACP_c  -> h2o_c + t3c5ddeceACP_c ,"Cell Envelope Biosynthesis","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1)",b0180 or b0954
3HAD140,3hmrsACP_c  -> h2o_c + tmrs2eACP_c ,"Cell Envelope Biosynthesis","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0)",b0954 or b0180
3HAD141,3hcmrs7eACP_c  -> h2o_c + t3c7mrseACP_c ,"Cell Envelope Biosynthesis","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1)",b0954 or b0180
3HAD160,3hpalmACP_c  -> h2o_c + tpalm2eACP_c ,"Cell Envelope Biosynthesis","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)",b0954 or b0180
3HAD161,3hcpalm9eACP_c  -> h2o_c + t3c9palmeACP_c ,"Cell Envelope Biosynthesis","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1)",b0180 or b0954
3HAD180,3hoctaACP_c  -> h2o_c + toctd2eACP_c ,"Cell Envelope Biosynthesis","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)",b0954 or b0180
3HAD181,3hcvac11eACP_c  -> h2o_c + t3c11vaceACP_c ,"Cell Envelope Biosynthesis","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1)",b0954 or b0180
3HAD40,3haACP_c  -> but2eACP_c + h2o_c ,"Cell Envelope Biosynthesis","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0)",b0954 or b0180
3HAD60,3hhexACP_c  -> h2o_c + thex2eACP_c ,"Cell Envelope Biosynthesis","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0)",b0954 or b0180
3HAD80,3hoctACP_c  -> h2o_c + toct2eACP_c ,"Cell Envelope Biosynthesis","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0)",b0954 or b0180
OGMEACPD,hgmeACP_c  -> egmeACP_c + h2o_c ,"Cofactor and Prosthetic Group Biosynthesis","3-Oxo-glutaryl-[ACP] methyl ester dehydratase",b0180
OPMEACPD,hpmeACP_c  -> epmeACP_c + h2o_c ,"Cofactor and Prosthetic Group Biosynthesis","3-Oxo-pimeloyl-[ACP] methyl ester dehydratase",b0180
UAGAAT,3hmrsACP_c + uacgam_c  <=> ACP_c + u3aga_c ,"Lipopolysaccharide Biosynthesis / Recycling","UDP-N-acetylglucosamine acyltransferase",b1094 and b0181
LPADSS,lipidX_c + u23ga_c  -> lipidAds_c + h_c + udp_c ,"Lipopolysaccharide Biosynthesis / Recycling","Lipid A disaccaride synthase",b0182
ACCOAC,accoa_c + atp_c + hco3_c  -> adp_c + malcoa_c + h_c + pi_c ,"Membrane Lipid Metabolism","Acetyl-CoA carboxylase",b0185 and b2316 and b3255 and b3256
PROTRS,atp_c + pro__L_c + trnapro_c  -> amp_c + ppi_c + protrna_c ,"tRNA Charging","Prolyl-tRNA synthetase",b0194
PPBNGS,2 5aop_c  -> h_c + 2 h2o_c + ppbng_c ,"Cofactor and Prosthetic Group Biosynthesis","Porphobilinogen synthase",b0369
APRAUR,5apru_c + h_c + nadph_c  -> 5aprbu_c + nadp_c ,"Cofactor and Prosthetic Group Biosynthesis","5-amino-6-(5-phosphoribosylamino)uracil reductase",b0414
DHPPDA2,25drapp_c + h_c + h2o_c  -> 5apru_c + nh4_c ,"Cofactor and Prosthetic Group Biosynthesis","Diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp)",b0414
RBFSb,2 dmlz_c  -> 4r5au_c + ribflv_c ,"Cofactor and Prosthetic Group Biosynthesis","Riboflavin synthase",b0415
TMPK,atp_c + thmmp_c  -> adp_c + thmpp_c ,"Cofactor and Prosthetic Group Biosynthesis","Thiamine-phosphate kinase",b0417
